provinsi,tahun,pulau,latitude,longitude,nilai_output_mikro,nilai_output_kecil,perusahaan_mikro,perusahaan_kecil,jumlah_perusahaan,tenaga_kerja_mikro,tenaga_kerja_kecil,jumlah_tenaga_kerja,cluster_raw,cluster,kategori_cluster,Kategori_Cluster,nilai_output,cluster_id
PAPUA SELATAN,2013,Maluku & Papua,-6.75,140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
JAMBI,2013,Sumatera,-1.612129,103.611496,1533830.0,1493814.0,22590.0,2510.0,25100.0,44760.0,16463.0,61223.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3027644.0,0
PAPUA BARAT DAYA,2013,Maluku & Papua,-1.8,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
JAWA BARAT,2013,Jawa,-7.090911,107.668887,26528692.0,80030788.0,382899.0,106861.0,489760.0,768672.0,909687.0,1678359.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),106559480.0,1
NUSA TENGGARA BARAT,2013,Bali & Nusa Tenggara,-8.652406,117.361649,2665469.0,3167617.0,93694.0,7484.0,101178.0,154847.0,63298.0,218145.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,5833086.0,2
KALIMANTAN TIMUR,2013,Kalimantan,1.681488,116.419389,2128634.0,6283496.0,20689.0,3694.0,24383.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),8412130.0,0
BANTEN,2013,Jawa,-6.405876,106.102921,2612996.0,3387423.0,71736.0,7424.0,79160.0,122128.0,62860.0,184988.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,6000419.0,2
BENGKULU,2013,Sumatera,-3.79313,102.265808,848139.0,719150.0,10595.0,1111.0,11706.0,22970.0,7628.0,30598.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1567289.0,0
PAPUA BARAT,2013,Maluku & Papua,-1.336246,133.174595,289182.0,60047.0,2730.0,92.0,2822.0,5153.0,670.0,5823.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),349229.0,0
PAPUA,2013,Maluku & Papua,-4.269928,138.080353,1221110.0,701400.0,9292.0,663.0,9955.0,19821.0,4554.0,24375.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1922510.0,0
NUSA TENGGARA TIMUR,2013,Bali & Nusa Tenggara,-8.657384,121.079107,1902409.0,746905.0,100761.0,3845.0,104606.0,166667.0,30849.0,197516.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,2649314.0,2
SULAWESI TENGAH,2013,Sulawesi,-1.430318,121.445017,1960155.0,1085119.0,30247.0,2943.0,33190.0,56664.0,23110.0,79774.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),3045274.0,0
BALI,2013,Bali & Nusa Tenggara,-8.340539,115.091949,4464881.0,9575917.0,84149.0,21333.0,105482.0,141588.0,170151.0,311739.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,14040798.0,2
SUMATERA UTARA,2013,Sumatera,2.11583,99.538753,5116140.0,11425284.0,64034.0,18854.0,82888.0,125586.0,149705.0,275291.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,16541424.0,2
GORONTALO,2013,Sulawesi,0.699526,122.446341,787181.0,407156.0,20934.0,1502.0,22436.0,37881.0,11314.0,49195.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1194337.0,0
RIAU,2013,Sumatera,0.293491,101.706513,1198703.0,1024316.0,15241.0,1808.0,17049.0,29854.0,11656.0,41510.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2223019.0,0
LAMPUNG,2013,Sumatera,-4.557573,105.406811,6116332.0,5134935.0,90051.0,11568.0,101619.0,189506.0,86867.0,276373.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,11251267.0,2
KEP. RIAU,2013,Sumatera,3.945398,108.142571,796936.0,821543.0,13706.0,2515.0,16221.0,21681.0,18103.0,39784.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1618479.0,0
SULAWESI BARAT,2013,Sulawesi,-2.840676,119.23247,578298.0,1246107.0,26028.0,1092.0,27120.0,39572.0,8212.0,47784.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),1824405.0,0
DI YOGYAKARTA,2013,Jawa,-7.873783,110.425706,3559546.0,8876436.0,67454.0,13306.0,80760.0,120966.0,115051.0,236017.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,12435982.0,2
SUMATERA BARAT,2013,Sumatera,-0.739864,100.800018,4013396.0,5457956.0,57987.0,8007.0,65994.0,102837.0,67518.0,170355.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,9471352.0,2
JAWA TENGAH,2013,Jawa,-7.150975,110.140259,30812542.0,82451650.0,650115.0,160148.0,810263.0,1196625.0,1287590.0,2484215.0,2,3,Cluster 3: Sangat Tinggi (Mikro Dominan),Cluster 3: Raksasa IMK (Mikro Dominan),113264192.0,3
PAPUA PEGUNUNGAN,2013,Maluku & Papua,-4.5,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
SULAWESI UTARA,2013,Sulawesi,0.627019,123.975107,1753732.0,722541.0,37091.0,2594.0,39685.0,65868.0,19489.0,85357.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),2476273.0,0
KALIMANTAN UTARA,2013,Kalimantan,3.073798,116.041703,0.0,0.0,0.0,0.0,0.0,40502.0,30736.0,71238.0,0,0,Cluster 0: Super Masif (Kecil Dominan),Cluster 0: Raksasa IMK (Kecil Dominan),0.0,0
SULAWESI SELATAN,2013,Sulawesi,-3.665354,119.97248,5142460.0,10038792.0,94537.0,7949.0,102486.0,174965.0,68019.0,242984.0,3,1,Cluster 1: Rendah / Berkembang,Cluster 1: Produktivitas IMK Rendah,15181252.0,2
